customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
4795-UXVCJ,Male  ,0,No     ,No        ,26,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Credit card (automatic)  ,19.8,California,Gonzales              ,36.52588,-121.396719,63,No     ,No               ,0,Offer C,0,No             ,No            ,0.0,0,1188.2,1645.5,Medium,7,1,8,Resolved
1915-IOFGU,Female,0,No     ,No        ,1,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,No              ,Electronic check         ,70.5,California,Keene                 ,35.214982,-118.59049,53,No     ,No               ,0,None   ,3,No             ,Yes           ,0.0,0,41.39,111.89,Low,9,0,9,Resolved
9680-NIAUV,Female,0,Yes    ,Yes       ,72,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Two year      ,No              ,Credit card (automatic)  ,109.7,California,West Hills            ,34.199787,-118.68493,42,Yes    ,Yes              ,7,Offer A,3,Yes            ,Yes           ,0.0,0,1343.52,9472.82,High,7,0,7,NotResolved
5519-NPHVG,Female,0,No     ,No        ,12,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,94.2,California,Klamath River         ,41.816595,-122.948287,53,No     ,No               ,0,None   ,24,Yes            ,No            ,7.39,120,153.0,1311.7099999999998,Medium,7,1,8,Resolved
9513-DXHDA,Male  ,0,No     ,No        ,27,Yes         ,No              ,DSL            ,Yes                ,Yes                ,Yes                ,One year      ,No              ,Electronic check         ,81.7,California,Auburn                ,38.912881,-121.082766,58,No     ,No               ,0,None   ,4,Yes            ,Yes           ,0.0,0,1329.75,3542.3,High,0,4,4,Resolved
9774-NRNAU,Male  ,1,Yes    ,No        ,27,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),84.8,California,Cabazon               ,33.929812,-116.76058,77,Yes    ,Yes              ,5,None   ,21,No             ,Yes           ,0.0,0,906.39,3215.94,Medium,7,1,8,Resolved
1891-UAWWU,Female,1,Yes    ,No        ,20,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,No                 ,Month-to-month,No              ,Electronic check         ,90.8,California,Johannesburg          ,35.363339,-117.637641,79,Yes    ,Yes              ,1,None   ,17,No             ,Yes           ,0.0,0,95.4,2046.4,Low,8,0,8,Resolved
3769-MHZNV,Female,0,Yes    ,Yes       ,33,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Mailed check             ,20.1,California,Salyer                ,40.89866,-123.539754,61,Yes    ,Yes              ,2,None   ,0,No             ,No            ,0.0,0,800.91,1471.26,Medium,1,3,4,Resolved
0236-HFWSV,Male  ,0,No     ,No        ,15,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,93.35,California,Palmdale              ,34.557711,-118.029441,49,No     ,No               ,0,None   ,15,Yes            ,Yes           ,0.0,0,733.95,2178.6000000000004,Low,7,1,8,Resolved
1452-VOQCH,Male  ,0,No     ,No        ,1,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,75.1,California,Hinkley               ,34.983808,-117.239306,61,No     ,No               ,0,None   ,28,No             ,Yes           ,0.0,0,4.53,79.63,Medium,0,3,3,Resolved
