customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
8395-ETZKQ,Male  ,1,Yes    ,Yes       ,68,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Bank transfer (automatic),19.5,California,Sacramento            ,38.660442,-121.346321,73,Yes    ,Yes              ,8,None   ,0,No             ,No            ,0.0,0,2389.52,3583.07,Medium,1,6,7,Resolved
7811-JIVPF,Female,0,No     ,No        ,23,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Credit card (automatic)  ,49.7,California,Long Beach            ,33.864622,-118.179626,44,No     ,No               ,0,None   ,2,No             ,No            ,0.0,150,971.98,2203.23,High,0,5,5,NotResolved
8280-MQRQN,Female,0,No     ,No        ,1,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Mailed check             ,50.45,California,Arnold                ,38.32153,-120.236358,39,No     ,No               ,0,Offer E,17,No             ,Yes           ,0.0,0,23.7,74.15,Medium,6,1,7,Resolved
4257-GAESD,Female,0,No     ,No        ,6,No          ,No phone service,DSL            ,No                 ,Yes                ,Yes                ,Month-to-month,No              ,Credit card (automatic)  ,45.0,California,Dinuba                ,36.523619,-119.386868,25,No     ,No               ,0,Offer E,52,Yes            ,Yes           ,0.0,0,0.0,298.7,High,7,1,8,Resolved
9274-CNFMO,Male  ,1,Yes    ,No        ,4,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,No              ,Electronic check         ,74.95,California,Pacoima               ,34.255442,-118.421314,76,Yes    ,Yes              ,1,None   ,27,No             ,Yes           ,0.0,0,112.44,421.14,Low,6,1,7,Resolved
2316-ESMLS,Female,0,Yes    ,Yes       ,12,No          ,No phone service,DSL            ,Yes                ,No                 ,No                 ,One year      ,No              ,Credit card (automatic)  ,33.15,California,Fresno                ,36.793601,-119.761131,54,Yes    ,Yes              ,7,None   ,27,No             ,Yes           ,0.0,0,0.0,444.75,Medium,7,0,7,Resolved
2842-JTCCU,Male  ,0,No     ,No        ,2,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Bank transfer (automatic),46.05,California,Hopland               ,38.93706,-123.118111,27,No     ,No               ,0,Offer E,52,Yes            ,No            ,0.0,10,59.38,149.73,Medium,7,0,7,NotResolved
0836-SEYLU,Male  ,0,Yes    ,No        ,9,No          ,No phone service,DSL            ,Yes                ,Yes                ,No                 ,Month-to-month,No              ,Mailed check             ,40.65,California,San Diego             ,33.000269,-117.072093,64,Yes    ,Yes              ,2,Offer E,26,No             ,Yes           ,0.0,0,0.0,328.95,Low,9,1,10,NotResolved
3195-TQDZX,Male  ,0,No     ,No        ,3,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,Yes             ,Electronic check         ,20.25,California,Elk Creek             ,39.53222,-122.594879,19,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,4.71,66.16,High,0,5,5,Resolved
4062-HBMOS,Male  ,0,No     ,No        ,52,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,103.05,California,Redding               ,40.677649,-122.29467,33,No     ,No               ,0,Offer B,22,Yes            ,Yes           ,46.67,0,281.84,5599.97,High,8,1,9,Resolved
3723-BFBGR,Male  ,1,No     ,No        ,24,Yes         ,Yes             ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Credit card (automatic)  ,54.8,California,Borrego Springs       ,33.200369,-116.192313,74,No     ,No               ,0,None   ,27,No             ,No            ,0.0,110,207.84,1609.14,High,1,3,4,Resolved
8854-CCVSQ,Male  ,0,No     ,No        ,18,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,80.65,California,Browns Valley         ,39.292334,-121.320597,58,No     ,No               ,0,None   ,7,No             ,No            ,0.0,30,699.66,2181.56,Low,9,1,10,Resolved
3207-OYBWH,Male  ,1,Yes    ,No        ,57,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),95.25,California,Newport Beach         ,33.601309,-117.902304,74,Yes    ,Yes              ,1,None   ,21,No             ,Yes           ,12.59,0,2844.87,8259.33,Low,8,0,8,Resolved
7137-RYLPP,Male  ,1,Yes    ,No        ,37,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Electronic check         ,85.7,California,Paskenta              ,39.884395,-122.587513,75,Yes    ,Yes              ,1,Offer C,26,No             ,Yes           ,0.0,0,1724.57,4895.72,Low,8,1,9,Resolved
7241-AJHFS,Male  ,0,No     ,No        ,32,Yes         ,Yes             ,Fiber optic    ,Yes                ,No                 ,No                 ,Month-to-month,No              ,Bank transfer (automatic),87.65,California,Hollister             ,36.875409,-121.279679,53,No     ,No               ,0,None   ,25,No             ,No            ,47.87,150,198.4,3066.9300000000003,Medium,6,1,7,Resolved
9488-FVZCC,Female,0,Yes    ,Yes       ,72,Yes         ,Yes             ,DSL            ,Yes                ,No                 ,Yes                ,Two year      ,Yes             ,Bank transfer (automatic),79.5,California,Rialto                ,34.109775,-117.378904,35,Yes    ,Yes              ,5,Offer A,14,Yes            ,Yes           ,0.0,0,2346.4800000000005,8008.18,Medium,7,0,7,Resolved
