customer_id, gender, senior_citizen, partner, dependents, tenure_months, phone_service, multiple_lines  , internet_service, online_security    , online_backup      , device_protection  , tech_support       , streaming_tv       , streaming_movies   , contract_type , paperless_billing, payment_method           , monthly_charges, total_charges, churn, churn_rate, churn_score_target, cltv, churn_reason                             , count, country      , state     , city                  , zip_code, lat_long                , latitude , longitude  , age, under_30, married, referred_a_friend, number_of_referrals, offer  , avg_monthly_long_distance_charges, avg_monthly_gb_download, streaming_music, premium_tech_support, unlimited_data, total_refunds, total_extra_data_charges, total_long_distance_charges, total_revenue        , customer_status, churn_score_1, churn_category , satisfaction_level, service_count, open_issue_count, close_issue_count, support_interaction_count, resolution_status_open_closed
4795-UXVCJ , Male  ,              0, No     , No        ,            26, Yes          , No              , No              , No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, One year      , No               , Credit card (automatic)  ,           19.8 ,        457.3 , No   ,          0,                 77, 5823,                                          ,     1, United States, California, Gonzales              ,    93926, "36.52588, -121.396719 ", 36.52588 , -121.396719,  63, No      , No     , No               ,                   0, Offer C,                             45.7 ,                       0, No             , No                  , No            ,          0.0 ,                        0,       1188.2               ,  1645.5              , Stayed         ,            77, 0              , Medium            ,             1,                7,                 1,                         8, Resolved
1915-IOFGU , Female,              0, No     , No        ,             1, Yes          , No              , Fiber optic     , No                 , No                 , No                 , No                 , No                 , No                 , Month-to-month, No               , Electronic check         ,           70.5 ,         70.5 , Yes  ,          1,                 90, 4123, Competitor offered higher download speeds,     1, United States, California, Keene                 ,    93531, "35.214982, -118.59049 ", 35.214982, -118.59049 ,  53, No      , No     , No               ,                   0, None   ,                             41.39,                       3, No             , No                  , Yes           ,          0.0 ,                        0,         41.39              ,   111.89             , Churned        ,            90, Competitor     , Low               ,             1,                9,                 0,                         9, Resolved
9680-NIAUV , Female,              0, Yes    , Yes       ,            72, Yes          , Yes             , Fiber optic     , Yes                , Yes                , Yes                , No                 , Yes                , Yes                , Two year      , No               , Credit card (automatic)  ,          109.7 ,       8129.3 , No   ,          0,                 74, 5945,                                          ,     1, United States, California, West Hills            ,    91307, "34.199787, -118.68493 ", 34.199787, -118.68493 ,  42, No      , Yes    , Yes              ,                   7, Offer A,                             18.66,                       3, Yes            , No                  , Yes           ,          0.0 ,                        0,       1343.52              ,  9472.82             , Stayed         ,            74, 0              , High              ,             1,                7,                 0,                         7, NotResolved
5519-NPHVG , Female,              0, No     , No        ,            12, Yes          , Yes             , Fiber optic     , No                 , No                 , No                 , No                 , Yes                , Yes                , Month-to-month, Yes              , Electronic check         ,           94.2 ,       1046.1 , Yes  ,          1,                 73, 3975, Price too high                           ,     1, United States, California, Klamath River         ,    96050, "41.816595, -122.948287", 41.816595, -122.948287,  53, No      , No     , No               ,                   0, None   ,                             12.75,                      24, Yes            , No                  , No            ,          7.39,                      120,        153.0               ,  1311.7099999999998  , Churned        ,            73, Price          , Medium            ,             1,                7,                 1,                         8, Resolved
9513-DXHDA , Male  ,              0, No     , No        ,            27, Yes          , No              , DSL             , Yes                , No                 , Yes                , Yes                , Yes                , Yes                , One year      , No               , Electronic check         ,           81.7 ,       2212.55, No   ,          0,                 39, 2445,                                          ,     1, United States, California, Auburn                ,    95603, "38.912881, -121.082766", 38.912881, -121.082766,  58, No      , No     , No               ,                   0, None   ,                             49.25,                       4, Yes            , Yes                 , Yes           ,          0.0 ,                        0,       1329.75              ,  3542.3              , Stayed         ,            39, 0              , High              ,             1,                0,                 4,                         4, Resolved
9774-NRNAU , Male  ,              1, Yes    , No        ,            27, Yes          , Yes             , DSL             , No                 , Yes                , Yes                , Yes                , Yes                , Yes                , Month-to-month, Yes              , Bank transfer (automatic),           84.8 ,       2309.55, No   ,          0,                 75, 5352,                                          ,     1, United States, California, Cabazon               ,    92230, "33.929812, -116.76058 ", 33.929812, -116.76058 ,  77, No      , Yes    , Yes              ,                   5, None   ,                             33.57,                      21, No             , Yes                 , Yes           ,          0.0 ,                        0,        906.39              ,  3215.94             , Stayed         ,            75, 0              , Medium            ,             1,                7,                 1,                         8, Resolved
1891-UAWWU , Female,              1, Yes    , No        ,            20, Yes          , Yes             , Fiber optic     , No                 , No                 , Yes                , No                 , Yes                , No                 , Month-to-month, No               , Electronic check         ,           90.8 ,       1951.0 , Yes  ,          1,                 87, 2312, Attitude of service provider             ,     1, United States, California, Johannesburg          ,    93528, "35.363339, -117.637641", 35.363339, -117.637641,  79, No      , Yes    , Yes              ,                   1, None   ,                              4.77,                      17, No             , No                  , Yes           ,          0.0 ,                        0,         95.4               ,  2046.4              , Churned        ,            87, Competitor     , Low               ,             1,                8,                 0,                         8, Resolved
3769-MHZNV , Female,              0, Yes    , Yes       ,            33, Yes          , No              , No              , No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, Two year      , No               , Mailed check             ,           20.1 ,        670.35, No   ,          0,                 25, 3700,                                          ,     1, United States, California, Salyer                ,    95563, "40.89866, -123.539754 ", 40.89866 , -123.539754,  61, No      , Yes    , Yes              ,                   2, None   ,                             24.27,                       0, No             , No                  , No            ,          0.0 ,                        0,        800.91              ,  1471.26             , Stayed         ,            25, 0              , Medium            ,             1,                1,                 3,                         4, Resolved
0236-HFWSV , Male  ,              0, No     , No        ,            15, Yes          , Yes             , Fiber optic     , No                 , No                 , No                 , No                 , Yes                , Yes                , Month-to-month, Yes              , Electronic check         ,           93.35,       1444.65, Yes  ,          1,                 77, 5264, Competitor offered higher download speeds,     1, United States, California, Palmdale              ,    93552, "34.557711, -118.029441", 34.557711, -118.029441,  49, No      , No     , No               ,                   0, None   ,                             48.93,                      15, Yes            , No                  , Yes           ,          0.0 ,                        0,        733.95              ,  2178.6000000000004  , Churned        ,            77, Competitor     , Low               ,             1,                7,                 1,                         8, Resolved
1452-VOQCH , Male  ,              0, No     , No        ,             1, Yes          , Yes             , Fiber optic     , No                 , No                 , No                 , No                 , No                 , No                 , Month-to-month, Yes              , Electronic check         ,           75.1 ,         75.1 , No   ,          0,                 28, 4120,                                          ,     1, United States, California, Hinkley               ,    92347, "34.983808, -117.239306", 34.983808, -117.239306,  61, No      , No     , No               ,                   0, None   ,                              4.53,                      28, No             , No                  , Yes           ,          0.0 ,                        0,          4.53              ,    79.63             , Joined         ,            28, 0              , Medium            ,             1,                0,                 3,                         3, Resolved
9820-RMCQV , Female,              0, No     , No        ,            11, Yes          , No              , DSL             , Yes                , No                 , No                 , No                 , No                 , No                 , Month-to-month, No               , Credit card (automatic)  ,           48.55,        501.0 , Yes  ,          1,                 92, 4444, Competitor made better offer             ,     1, United States, California, San Marino            ,    91108, "34.122671, -118.112911", 34.122671, -118.112911,  43, No      , No     , No               ,                   0, None   ,                             19.01,                       8, No             , No                  , No            ,          0.0 ,                      130,        209.11              ,   840.11             , Churned        ,            92, Competitor     , Low               ,             1,                9,                 1,                        10, Resolved
4918-FYJNT , Female,              1, Yes    , No        ,            55, Yes          , Yes             , Fiber optic     , No                 , Yes                , Yes                , Yes                , No                 , No                 , Month-to-month, No               , Electronic check         ,           90.45,       5044.8 , No   ,          0,                 42, 5140,                                          ,     1, United States, California, Los Angeles           ,    90063, "34.044271, -118.185237", 34.044271, -118.185237,  68, No      , Yes    , Yes              ,                   4, None   ,                             22.74,                      21, No             , Yes                 , Yes           ,         12.48,                        0,       1250.6999999999998   ,  6283.02             , Stayed         ,            42, 0              , High              ,             1,                0,                 5,                         5, Resolved
3996-ZNWYK , Male  ,              1, Yes    , Yes       ,            71, Yes          , No              , No              , No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, Two year      , No               , Credit card (automatic)  ,           19.8 ,       1388.45, No   ,          0,                 69, 5819,                                          ,     1, United States, California, Sacramento            ,    95832, "38.445939, -121.496855", 38.445939, -121.496855,  77, No      , Yes    , Yes              ,                   5, None   ,                             32.12,                       0, No             , No                  , No            ,          0.0 ,                        0,       2280.52              ,  3668.97             , Stayed         ,            69, 0              , High              ,             1,                6,                 1,                         7, NotResolved
0506-LVNGN , Female,              1, No     , No        ,             5, Yes          , No              , Fiber optic     , No                 , No                 , Yes                , No                 , No                 , No                 , Month-to-month, Yes              , Credit card (automatic)  ,           75.55,        349.65, Yes  ,          1,                 97, 4028, Competitor offered higher download speeds,     1, United States, California, Rancho Cordova        ,    95742, "38.591134, -121.161585", 38.591134, -121.161585,  78, No      , No     , No               ,                   0, None   ,                             42.33,                       9, No             , No                  , Yes           ,          0.0 ,                        0,        211.65              ,   561.3              , Churned        ,            90, Competitor     , Low               ,             1,                9,                 0,                         9, Resolved
9507-EXLTT , Female,              0, Yes    , No        ,             1, Yes          , No              , Fiber optic     , No                 , No                 , No                 , No                 , Yes                , No                 , Month-to-month, Yes              , Bank transfer (automatic),           79.35,         79.35, Yes  ,          1,                 77, 3492, Attitude of support person               ,     1, United States, California, Seaside               ,    93955, "36.625114, -121.823565", 36.625114, -121.823565,  30, No      , Yes    , Yes              ,                   2, Offer E,                             23.63,                      52, No             , No                  , Yes           ,          0.0 ,                        0,         23.63              ,   102.98             , Churned        ,            77, Attitude       , Low               ,             1,                7,                 1,                         8, Resolved
0156-FVPTA , Male  ,              0, Yes    , No        ,            22, Yes          , No              , DSL             , Yes                , No                 , No                 , Yes                , No                 , No                 , Month-to-month, Yes              , Electronic check         ,           54.2 ,       1152.7 , Yes  ,          1,                 87, 5102, Attitude of service provider             ,     1, United States, California, Solvang               ,    93463, "34.624399, -120.137875", 34.624399, -120.137875,  48, No      , Yes    , Yes              ,                   1, Offer D,                             27.24,                      21, No             , Yes                 , Yes           ,          0.0 ,                        0,        599.28              ,  1751.98             , Churned        ,            87, Attitude       , Low               ,             1,                8,                 0,                         8, Resolved
4424-TKOPW , Male  ,              1, No     , No        ,             2, Yes          , Yes             , Fiber optic     , No                 , No                 , No                 , No                 , Yes                , Yes                , Month-to-month, Yes              , Electronic check         ,           93.85,        196.75, Yes  ,          1,                 70, 4998, Lack of affordable download/upload speed ,     1, United States, California, Crestline             ,    92325, "34.248061, -117.29028 ", 34.248061, -117.29028 ,  70, No      , No     , No               ,                   0, None   ,                             25.19,                      14, No             , No                  , Yes           ,          0.0 ,                        0,         50.38              ,   247.13             , Churned        ,            70, Price          , Low               ,             1,                7,                 1,                         8, Resolved
5552-ZNFSJ , Male  ,              0, No     , No        ,             1, Yes          , No              , DSL             , No                 , No                 , No                 , No                 , No                 , No                 , Month-to-month, No               , Electronic check         ,           45.3 ,         45.3 , Yes  ,          1,                 66, 4568, Don't know                               ,     1, United States, California, Santa Rosa            ,    95407, "38.394091, -122.739814", 38.394091, -122.739814,  49, No      , No     , No               ,                   0, None   ,                             34.37,                      28, No             , No                  , Yes           ,          0.0 ,                        0,         34.37              ,    79.66999999999999 , Churned        ,            66, Other          , Medium            ,             1,                6,                 1,                         7, NotResolved
3717-OFRTN , Male  ,              0, No     , No        ,             1, Yes          , No              , No              , No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, Month-to-month, No               , Bank transfer (automatic),           19.75,         19.75, No   ,          0,                 43, 3595,                                          ,     1, United States, California, Dublin                ,    94568, "37.713926, -121.928425", 37.713926, -121.928425,  48, No      , No     , No               ,                   0, Offer E,                              5.32,                       0, No             , No                  , No            ,          0.0 ,                        0,          5.32              ,    25.07             , Joined         ,            43, 0              , High              ,             1,                0,                 5,                         5, Resolved
7206-PQBBZ , Male  ,              1, Yes    , No        ,            11, Yes          , No              , Fiber optic     , No                 , No                 , No                 , No                 , No                 , No                 , Month-to-month, Yes              , Electronic check         ,           70.2 ,        834.7 , No   ,          0,                 29, 2848,                                          ,     1, United States, California, Fontana               ,    92336, "34.136367, -117.460803", 34.136367, -117.460803,  76, No      , Yes    , Yes              ,                   7, Offer D,                             24.42,                      29, No             , No                  , Yes           ,          0.0 ,                        0,        268.62              ,  1103.3200000000002  , Stayed         ,            29, 0              , Medium            ,             1,                0,                 3,                         3, Resolved
7625-XCQRH , Female,              0, No     , No        ,            11, Yes          , Yes             , Fiber optic     , No                 , No                 , No                 , No                 , No                 , No                 , Month-to-month, Yes              , Electronic check         ,           76.5 ,        837.95, Yes  ,          1,                 76, 2291, Network reliability                      ,     1, United States, California, Strathmore            ,    93267, "36.141319, -119.129075", 36.141319, -119.129075,  48, No      , No     , No               ,                   0, None   ,                             15.6 ,                       4, No             , No                  , Yes           ,          0.0 ,                        0,        171.6               ,  1009.55             , Churned        ,            76, Dissatisfaction, Medium            ,             1,                7,                 0,                         7, NotResolved
1897-OKVMW , Female,              0, Yes    , Yes       ,            64, Yes          , Yes             , DSL             , Yes                , Yes                , Yes                , Yes                , Yes                , Yes                , Two year      , Yes              , Mailed check             ,           90.6 ,       5817.45, No   ,          0,                 43, 5240,                                          ,     1, United States, California, Lathrop               ,    95330, "37.80821, -121.308401 ", 37.80821 , -121.308401,  44, No      , Yes    , Yes              ,                   3, None   ,                             37.0 ,                      19, Yes            , Yes                 , Yes           ,          0.0 ,                        0,       2368.0               ,  8185.45             , Stayed         ,            43, 0              , High              ,             1,                1,                 5,                         6, Resolved
3566-CAAYU , Female,              0, Yes    , Yes       ,            64, No           , No phone service, DSL             , No                 , Yes                , Yes                , Yes                , No                 , Yes                , Two year      , No               , Electronic check         ,           49.85,       3210.35, No   ,          0,                 56, 5644,                                          ,     1, United States, California, Cayucos               ,    93430, "35.511833, -120.918713", 35.511833, -120.918713,  28, Yes     , Yes    , Yes              ,                   3, Offer B,                              0.0 ,                      59, Yes            , Yes                 , Yes           ,          0.0 ,                        0,          0.0               ,  3210.35             , Stayed         ,            56, 0              , High              ,             1,                1,                 6,                         7, NotResolved
5980-BDHPY , Male  ,              0, Yes    , No        ,            72, Yes          , Yes             , DSL             , Yes                , Yes                , Yes                , Yes                , Yes                , Yes                , Two year      , Yes              , Bank transfer (automatic),           87.1 ,       6230.1 , No   ,          0,                 76, 5993,                                          ,     1, United States, California, Wendel                ,    96136, "40.345949, -120.081187", 40.345949, -120.081187,  48, No      , Yes    , Yes              ,                   5, None   ,                             12.02,                      26, Yes            , Yes                 , Yes           ,          0.0 ,                        0,        865.4399999999999   ,  7095.54             , Stayed         ,            76, 0              , Medium            ,             1,                7,                 0,                         7, Resolved
2830-LEWOA , Male  ,              0, Yes    , Yes       ,            61, Yes          , No              , Fiber optic     , No                 , Yes                , Yes                , Yes                , Yes                , Yes                , One year      , No               , Credit card (automatic)  ,          103.9 ,       6449.15, No   ,          0,                 28, 4079,                                          ,     1, United States, California, Jamestown             ,    95327, "37.84771, -120.486589 ", 37.84771 , -120.486589,  37, No      , Yes    , Yes              ,                   3, Offer B,                             43.08,                      19, Yes            , Yes                 , Yes           ,          0.0 ,                        0,       2627.88              ,  9077.03             , Stayed         ,            28, 0              , High              ,             1,                0,                 3,                         3, Resolved
4124-MMETB , Male  ,              0, No     , No        ,            22, Yes          , Yes             , Fiber optic     , No                 , No                 , No                 , No                 , Yes                , Yes                , Month-to-month, Yes              , Credit card (automatic)  ,           94.65,       2104.55, Yes  ,          1,                 85, 3665, Competitor offered higher download speeds,     1, United States, California, Lockwood              ,    93932, "35.989792, -121.055933", 35.989792, -121.055933,  52, No      , No     , No               ,                   0, None   ,                             46.28,                      16, Yes            , No                  , No            ,          0.0 ,                       40,       1018.16              ,  3162.71             , Churned        ,            85, Competitor     , Low               ,             1,                8,                 0,                         8, Resolved
