customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,churn_score_1,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
6432-TWQLB,Male  ,0,Yes    ,No        ,5,Yes         ,Yes             ,Fiber optic    ,Yes                ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,85.4,California,Rosemead              ,34.065108,-118.082791,51,Yes    ,Yes              ,1,Offer E,16,No             ,Yes           ,45.37,0,211.45,567.1800000000001,80,Medium,8,0,8,Resolved
9526-BIHHD,Male  ,0,No     ,No        ,1,No          ,No phone service,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Mailed check             ,29.7,California,San Jose              ,37.375156,-121.795867,30,No     ,No               ,0,Offer E,69,No             ,Yes           ,0.0,0,0.0,29.7,74,Low,7,0,7,Resolved
5590-BYNII,Male  ,0,No     ,No        ,22,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,100.75,California,Bayside               ,40.825486,-124.049485,51,No     ,No               ,0,None   ,17,Yes            ,Yes           ,0.0,0,790.46,2885.46,91,Low,9,1,10,Resolved
0963-ZBDRN,Male  ,0,No     ,No        ,32,Yes         ,No              ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,96.2,California,Claremont             ,34.127621,-117.717863,45,No     ,No               ,0,None   ,26,Yes            ,Yes           ,0.0,0,806.72,3990.12,93,Medium,9,1,10,Resolved
9127-QRZMH,Male  ,0,Yes    ,No        ,44,Yes         ,No              ,DSL            ,Yes                ,No                 ,No                 ,One year      ,Yes             ,Bank transfer (automatic),59.85,California,Santa Ana             ,33.765893,-117.881533,39,Yes    ,Yes              ,1,None   ,24,No             ,Yes           ,0.0,0,774.8399999999999,3378.79,35,Medium,0,4,4,Resolved
8006-PYCSW,Female,0,No     ,No        ,2,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,No              ,Mailed check             ,20.1,California,Los Angeles           ,33.994524,-118.149953,60,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,71.0,110.8,65,High,6,0,6,NotResolved
3688-FTHLT,Female,0,No     ,No        ,16,Yes         ,Yes             ,DSL            ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),63.05,California,Flournoy              ,39.84784,-122.544556,56,No     ,No               ,0,None   ,23,Yes            ,No            ,0.0,10,683.68,1760.73,73,Medium,7,0,7,Resolved
4441-NIHPT,Female,1,No     ,No        ,13,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,74.3,California,Freedom               ,36.936228,-121.785559,73,No     ,No               ,0,None   ,21,No             ,Yes           ,0.0,0,524.81,1465.16,90,Low,9,1,10,NotResolved
1877-HKBQX,Female,0,No     ,No        ,11,Yes         ,No              ,DSL            ,Yes                ,No                 ,No                 ,One year      ,Yes             ,Mailed check             ,54.6,California,Cerritos              ,33.8681,-118.067402,21,No     ,No               ,0,Offer D,41,No             ,Yes           ,0.0,0,12.76,630.61,49,High,0,5,5,Resolved
9494-BDNNC,Male  ,0,Yes    ,No        ,66,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,Yes                ,One year      ,No              ,Electronic check         ,95.3,California,Los Angeles           ,34.046174,-118.446333,36,Yes    ,Yes              ,1,None   ,24,Yes            ,Yes           ,0.0,0,1704.78,7978.179999999999,49,High,0,5,5,NotResolved
6036-TTFYU,Female,0,Yes    ,No        ,16,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,No              ,Mailed check             ,19.6,California,Thousand Oaks         ,34.191842,-118.822796,48,Yes    ,Yes              ,1,None   ,0,No             ,No            ,26.83,0,749.76,1037.38,79,Medium,7,1,8,Resolved
3084-DOWLE,Female,0,Yes    ,No        ,72,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,Two year      ,No              ,Bank transfer (automatic),92.0,California,Citrus Heights        ,38.69549,-121.307864,47,Yes    ,Yes              ,8,Offer A,16,Yes            ,No            ,0.0,110,3116.88,9701.28,42,Medium,0,5,5,Resolved
8580-QVLOC,Female,1,Yes    ,Yes       ,72,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,Two year      ,No              ,Credit card (automatic)  ,92.45,California,Merced                ,37.40122,-120.514191,78,Yes    ,No               ,0,None   ,6,No             ,Yes           ,0.0,0,1855.44,8295.69,78,Low,7,1,8,Resolved
2921-XWDJH,Female,1,Yes    ,No        ,38,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Electronic check         ,83.45,California,Glendale              ,34.167926,-118.267539,76,Yes    ,No               ,0,None   ,15,No             ,Yes           ,24.98,0,129.96,3252.13,49,Medium,1,5,6,Resolved
5555-RNPGT,Male  ,0,No     ,Yes       ,10,Yes         ,Yes             ,No             ,No internet service,No internet service,No internet service,Month-to-month,No              ,Credit card (automatic)  ,24.8,California,Bloomington           ,34.059722,-117.39104,61,No     ,No               ,0,Offer D,0,No             ,No            ,0.0,0,344.7,568.6,36,Medium,0,4,4,Resolved
4290-BSXUX,Male  ,0,Yes    ,No        ,3,Yes         ,Yes             ,Fiber optic    ,Yes                ,No                 ,No                 ,Month-to-month,Yes             ,Bank transfer (automatic),79.65,California,Fields Landing        ,40.726949,-124.217378,33,Yes    ,Yes              ,1,None   ,17,No             ,Yes           ,0.0,0,129.81,381.56,87,Low,8,0,8,Resolved
2636-OHFMN,Male  ,0,Yes    ,No        ,4,No          ,No phone service,DSL            ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,48.55,California,Orosi                 ,36.600185,-119.175655,26,Yes    ,Yes              ,4,None   ,76,Yes            ,Yes           ,0.0,0,0.0,201.0,90,Low,9,1,10,Resolved
8229-BUJHX,Female,0,Yes    ,Yes       ,71,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Bank transfer (automatic),20.5,California,Chula Vista           ,32.607964,-117.059459,60,Yes    ,Yes              ,8,None   ,0,No             ,No            ,0.0,0,790.23,2291.1800000000003,62,High,6,0,6,NotResolved
4182-BGSIQ,Female,0,Yes    ,Yes       ,10,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,Yes             ,Bank transfer (automatic),19.8,California,Durham                ,39.607831,-121.777959,46,Yes    ,Yes              ,6,Offer D,0,No             ,No            ,0.0,0,190.5,387.25,49,Medium,0,5,5,Resolved
0872-CASZJ,Male  ,0,Yes    ,No        ,59,Yes         ,Yes             ,DSL            ,Yes                ,No                 ,Yes                ,One year      ,Yes             ,Mailed check             ,69.1,California,Hamilton City         ,39.732767,-122.042298,30,Yes    ,Yes              ,1,Offer B,53,Yes            ,Yes           ,0.0,0,1209.5,5306.4,29,Medium,1,3,4,Resolved
2930-UOTMB,Female,0,No     ,No        ,31,Yes         ,Yes             ,DSL            ,Yes                ,No                 ,No                 ,Month-to-month,No              ,Credit card (automatic)  ,65.25,California,Riverside             ,33.930931,-117.361788,29,No     ,No               ,0,Offer C,52,No             ,No            ,0.0,120,965.34,3079.6400000000003,68,Low,6,0,6,Resolved
3705-PSNGL,Male  ,0,No     ,No        ,45,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,Yes             ,Electronic check         ,20.4,California,Cerritos              ,33.8681,-118.067402,49,No     ,No               ,0,Offer B,0,No             ,No            ,0.0,0,1143.0,2073.45,87,Medium,8,0,8,Resolved
9152-AMKAK,Male  ,0,No     ,No        ,6,Yes         ,No              ,DSL            ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Mailed check             ,80.25,California,Coalinga              ,36.186867,-120.387793,50,No     ,No               ,0,Offer E,10,Yes            ,Yes           ,0.0,0,137.7,631.0999999999999,26,High,1,3,4,Resolved
7876-AEHIG,Female,0,No     ,Yes       ,51,No          ,No phone service,DSL            ,Yes                ,Yes                ,Yes                ,One year      ,No              ,Bank transfer (automatic),60.15,California,Daly City             ,37.680844,-122.48131,48,No     ,No               ,0,None   ,10,Yes            ,Yes           ,0.0,0,0.0,3077.0,37,Medium,1,4,5,NotResolved
2372-HWUHI,Male  ,0,No     ,No        ,2,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Electronic check         ,44.35,California,Lakewood              ,33.840524,-118.148403,45,No     ,No               ,0,Offer E,3,No             ,Yes           ,0.0,0,93.68,174.93,76,Medium,7,1,8,NotResolved
3933-DQPWX,Female,0,No     ,No        ,50,No          ,No phone service,DSL            ,Yes                ,No                 ,No                 ,Two year      ,No              ,Credit card (automatic)  ,39.7,California,Barstow               ,34.965648,-117.001509,48,No     ,No               ,0,None   ,6,No             ,Yes           ,0.0,0,0.0,1932.75,49,Medium,1,5,6,Resolved
9621-OUPYD,Female,0,Yes    ,No        ,25,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,Yes             ,Bank transfer (automatic),20.2,California,Lancaster             ,34.741406,-118.38111,21,Yes    ,Yes              ,2,None   ,0,No             ,No            ,0.0,0,262.25,770.15,23,Medium,0,3,3,Resolved
0014-BMAQU,Male  ,0,Yes    ,No        ,63,Yes         ,Yes             ,Fiber optic    ,Yes                ,No                 ,No                 ,Two year      ,Yes             ,Credit card (automatic)  ,84.65,California,Napa                  ,38.489789,-122.27011,52,Yes    ,Yes              ,8,Offer B,7,No             ,No            ,0.0,20,816.48,6214.280000000001,49,High,0,5,5,Resolved
2519-ERQOJ,Male  ,1,No     ,No        ,33,No          ,No phone service,DSL            ,Yes                ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,54.6,California,Desert Hot Springs    ,33.832799,-116.250973,74,No     ,No               ,0,Offer C,11,No             ,Yes           ,0.0,0,0.0,1803.7,30,High,1,4,5,Resolved
9564-KCLHR,Male  ,0,No     ,No        ,1,Yes         ,No              ,DSL            ,Yes                ,No                 ,No                 ,Month-to-month,No              ,Mailed check             ,51.25,California,San Diego             ,32.71346,-117.236378,58,No     ,No               ,0,None   ,4,No             ,Yes           ,0.0,0,6.44,57.69,94,Low,9,1,10,Resolved
7459-RRWQZ,Female,0,No     ,No        ,15,Yes         ,Yes             ,DSL            ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),64.65,California,Shasta                ,40.617614,-122.512861,51,No     ,No               ,0,Offer D,26,Yes            ,Yes           ,0.0,0,713.55,1708.1,89,Low,8,1,9,Resolved
7994-UYIVZ,Male  ,0,Yes    ,No        ,8,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),85.65,California,Miramonte             ,36.696759,-119.024051,62,Yes    ,Yes              ,1,Offer E,16,Yes            ,No            ,0.0,70,316.72,1046.17,72,High,7,1,8,NotResolved
5271-DBYSJ,Male  ,1,No     ,No        ,11,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Credit card (automatic)  ,79.15,California,Berkeley              ,37.897743,-122.263124,80,No     ,No               ,0,Offer D,15,Yes            ,No            ,0.0,140,295.24,1262.94,20,High,0,3,3,Resolved
5651-CPDND,Male  ,0,No     ,No        ,10,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Mailed check             ,46.0,California,San Leandro           ,37.704384,-122.126703,45,No     ,No               ,0,Offer D,14,No             ,Yes           ,0.0,0,135.1,627.2,38,High,0,4,4,Resolved
0533-BNWKF,Female,1,Yes    ,No        ,55,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,85.45,California,Palm Desert           ,33.762759,-116.324817,66,Yes    ,Yes              ,2,Offer B,27,No             ,No            ,0.0,90,2355.1,7319.799999999999,91,Low,10,0,10,Resolved
5876-QMYLD,Female,0,Yes    ,Yes       ,23,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Mailed check             ,20.05,California,Earp                  ,34.137742,-114.36514,44,Yes    ,Yes              ,10,None   ,0,No             ,No            ,0.0,0,409.86,824.96,9,High,1,1,2,Resolved
6100-QQHEB,Male  ,0,Yes    ,Yes       ,17,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,92.55,California,San Jose              ,37.304681,-121.809955,42,Yes    ,Yes              ,1,Offer D,13,Yes            ,Yes           ,0.0,0,301.07,1816.17,91,Medium,9,1,10,Resolved
0603-OLQDC,Male  ,0,No     ,Yes       ,12,Yes         ,No              ,DSL            ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Mailed check             ,69.85,California,Whittier              ,34.007353,-118.033683,41,No     ,No               ,0,Offer D,29,Yes            ,Yes           ,0.0,0,324.84000000000003,1162.34,36,Medium,1,4,5,Resolved
6650-VJONK,Male  ,0,No     ,No        ,1,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Bank transfer (automatic),43.85,California,Carson                ,33.859171,-118.252272,54,No     ,No               ,0,None   ,27,No             ,No            ,0.0,10,15.9,69.75,39,High,1,4,5,NotResolved
4918-FYJNT,Female,1,Yes    ,No        ,55,Yes         ,Yes             ,Fiber optic    ,Yes                ,No                 ,No                 ,Month-to-month,No              ,Electronic check         ,90.45,California,Los Angeles           ,34.044271,-118.185237,68,Yes    ,Yes              ,4,None   ,21,No             ,Yes           ,12.48,0,1250.6999999999998,6283.02,42,High,0,5,5,Resolved
2862-PFNIK,Male  ,0,No     ,Yes       ,1,No          ,No phone service,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,24.7,California,San Leandro           ,37.704384,-122.126703,47,No     ,No               ,0,None   ,21,No             ,No            ,0.0,0,0.0,24.7,29,High,1,3,4,Resolved
3838-OZURD,Male  ,0,Yes    ,No        ,66,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Credit card (automatic)  ,105.0,California,Somes Bar             ,41.444606,-123.471895,28,Yes    ,No               ,0,Offer A,51,Yes            ,Yes           ,0.0,0,480.48,7613.73,96,Low,9,1,10,Resolved
0345-XMMUG,Female,0,Yes    ,No        ,46,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,108.9,California,Ione                  ,38.33788,-120.954202,29,Yes    ,Yes              ,6,None   ,48,Yes            ,Yes           ,0.0,0,92.0,4946.3,45,High,1,5,6,Resolved
4484-CGXFK,Female,0,No     ,No        ,3,Yes         ,No              ,DSL            ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Electronic check         ,55.3,California,El Dorado             ,38.63153,-120.842609,45,No     ,No               ,0,None   ,7,Yes            ,Yes           ,0.0,0,77.88,274.03,96,Low,9,1,10,Resolved
7244-KXYZN,Female,0,No     ,No        ,24,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Credit card (automatic)  ,20.45,California,Modesto               ,37.670526,-120.877572,25,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,143.52,670.87,20,High,0,3,3,Resolved
6791-YBNAK,Male  ,0,Yes    ,Yes       ,18,No          ,No phone service,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Credit card (automatic)  ,25.55,California,Manteca               ,37.750822,-121.238423,26,Yes    ,Yes              ,9,Offer D,52,No             ,Yes           ,0.0,0,0.0,467.85,28,Medium,1,3,4,Resolved
7011-CVEUC,Male  ,0,Yes    ,No        ,25,Yes         ,No              ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Month-to-month,Yes             ,Credit card (automatic)  ,95.7,California,Chula Vista           ,32.607964,-117.059459,51,Yes    ,Yes              ,7,None   ,8,Yes            ,Yes           ,0.0,0,95.25,2433.6,34,High,0,4,4,Resolved
2058-DCJBE,Male  ,0,No     ,No        ,5,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,69.75,California,Los Angeles           ,34.065875,-118.238728,32,No     ,No               ,0,Offer E,5,No             ,Yes           ,0.0,0,155.7,480.3,91,Low,9,1,10,Resolved
5261-QSHQM,Female,0,No     ,No        ,4,No          ,No phone service,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,24.45,California,Maricopa              ,34.737031,-119.460557,31,No     ,No               ,0,Offer E,9,No             ,Yes           ,0.0,0,0.0,86.6,70,Low,7,0,7,Resolved
1205-WNWPJ,Female,0,No     ,No        ,7,Yes         ,No              ,DSL            ,Yes                ,Yes                ,No                 ,Month-to-month,Yes             ,Mailed check             ,59.5,California,Lakehead              ,40.883853,-122.418258,54,No     ,No               ,0,Offer E,22,No             ,Yes           ,0.0,0,15.68,431.63,91,Medium,9,1,10,Resolved
2626-VEEWG,Male  ,0,Yes    ,Yes       ,67,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,Yes             ,Credit card (automatic)  ,19.4,California,Sun City              ,33.69887,-117.25071,48,Yes    ,Yes              ,6,None   ,0,No             ,No            ,0.0,0,367.16,1651.36,70,High,7,0,7,Resolved
0936-NQLJU,Female,0,Yes    ,No        ,41,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Two year      ,No              ,Credit card (automatic)  ,20.65,California,Mokelumne Hill        ,38.304194,-120.592431,40,Yes    ,Yes              ,9,Offer B,0,No             ,No            ,0.0,0,346.04,1221.59,79,Medium,7,1,8,Resolved
3530-CRZSB,Female,0,No     ,No        ,7,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,No              ,Mailed check             ,20.65,California,Malibu                ,34.037037,-118.705803,55,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,108.78,264.68,38,High,1,4,5,Resolved
3580-HYCSP,Male  ,0,Yes    ,Yes       ,72,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Two year      ,Yes             ,Bank transfer (automatic),110.3,California,Midway City           ,33.744439,-117.98588,44,Yes    ,Yes              ,10,None   ,51,Yes            ,Yes           ,0.0,0,2376.72,10343.62,73,Medium,7,0,7,Resolved
0122-OAHPZ,Female,0,No     ,No        ,7,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,73.85,California,Oceanside             ,33.254497,-117.285879,29,No     ,No               ,0,None   ,26,Yes            ,Yes           ,13.03,0,200.34,698.5600000000001,67,Medium,6,0,6,Resolved
3682-YEUWS,Male  ,0,Yes    ,Yes       ,10,Yes         ,Yes             ,No             ,No internet service,No internet service,No internet service,Month-to-month,Yes             ,Mailed check             ,24.4,California,Tulelake              ,41.813521,-121.492666,27,Yes    ,Yes              ,4,None   ,0,No             ,No            ,0.0,0,41.6,295.5,54,High,1,6,7,Resolved
8879-XUAHX,Male  ,0,Yes    ,No        ,71,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Electronic check         ,116.25,California,Irvine                ,33.680302,-117.833296,42,Yes    ,Yes              ,4,None   ,9,Yes            ,Yes           ,0.0,0,439.49,9004.24,47,Medium,1,5,6,Resolved
6131-FOYAS,Male  ,0,No     ,No        ,35,Yes         ,Yes             ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,59.6,California,San Lorenzo           ,37.676249,-122.132415,48,No     ,No               ,0,None   ,16,No             ,Yes           ,0.0,0,721.35,2816.25,27,Medium,0,3,3,Resolved
6778-YSNIH,Female,0,No     ,No        ,2,Yes         ,No              ,DSL            ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Electronic check         ,59.0,California,Riverside             ,33.994676,-117.372498,63,No     ,No               ,0,None   ,26,No             ,Yes           ,0.0,0,54.04,168.19,33,High,1,4,5,Resolved
