customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
4092-OFQZS,Male  ,0,Yes    ,No        ,20,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Mailed check             ,20.65,California,Manhattan Beach       ,33.889632,-118.39737,27,Yes    ,Yes              ,8,Offer D,0,No             ,No            ,0.0,0,929.4,1346.9,Medium,0,5,5,NotResolved
7560-QRBXH,Female,0,No     ,Yes       ,48,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,One year      ,No              ,Mailed check             ,19.95,California,Woodland              ,38.71967,-121.862416,32,No     ,No               ,0,None   ,0,No             ,No            ,0.0,0,441.12,1377.8200000000002,Medium,0,3,3,Resolved
7876-AEHIG,Female,0,No     ,Yes       ,51,No          ,No phone service,DSL            ,Yes                ,Yes                ,Yes                ,One year      ,No              ,Bank transfer (automatic),60.15,California,Daly City             ,37.680844,-122.48131,48,No     ,No               ,0,None   ,10,Yes            ,Yes           ,0.0,0,0.0,3077.0,Medium,1,4,5,NotResolved
7503-ZGUZJ,Male  ,0,No     ,No        ,1,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,No                 ,Month-to-month,Yes             ,Mailed check             ,84.65,California,Riverside             ,33.920907,-117.489426,25,No     ,No               ,0,None   ,51,No             ,No            ,0.0,40,22.3,146.95000000000002,Low,7,1,8,Resolved
4061-UKJWL,Male  ,0,No     ,No        ,3,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,No              ,Mailed check             ,45.45,California,San Francisco         ,37.7795,-122.419233,35,No     ,No               ,0,None   ,17,No             ,Yes           ,0.0,0,61.11,202.81,High,7,1,8,NotResolved
8990-YOZLV,Female,0,No     ,No        ,69,Yes         ,Yes             ,DSL            ,Yes                ,No                 ,No                 ,Two year      ,Yes             ,Mailed check             ,66.9,California,Hickman               ,37.605926,-120.69955,46,No     ,No               ,0,Offer A,7,No             ,Yes           ,0.0,0,959.79,5537.69,Medium,6,0,6,Resolved
4059-IIEBK,Female,0,No     ,No        ,7,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Bank transfer (automatic),78.55,California,Ojai                  ,34.581308,-118.931948,51,No     ,No               ,0,None   ,16,No             ,Yes           ,47.19,0,285.32,761.08,Medium,6,1,7,Resolved
7994-UYIVZ,Male  ,0,Yes    ,No        ,8,Yes         ,Yes             ,Fiber optic    ,No                 ,No                 ,Yes                ,Month-to-month,Yes             ,Bank transfer (automatic),85.65,California,Miramonte             ,36.696759,-119.024051,62,Yes    ,Yes              ,1,Offer E,16,Yes            ,No            ,0.0,70,316.72,1046.17,High,7,1,8,NotResolved
7055-JCGNI,Female,0,No     ,No        ,70,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Credit card (automatic)  ,111.95,California,Moss Beach            ,37.515556,-122.502311,60,No     ,No               ,0,Offer A,26,Yes            ,Yes           ,0.0,0,3119.9,10915.85,High,1,3,4,Resolved
4189-NAKJS,Male  ,0,No     ,No        ,26,Yes         ,Yes             ,DSL            ,No                 ,No                 ,No                 ,One year      ,Yes             ,Credit card (automatic)  ,51.55,California,Murphys               ,38.147852,-120.440124,29,No     ,No               ,0,Offer C,59,No             ,Yes           ,0.0,0,641.4200000000001,1936.82,Medium,1,4,5,Resolved
