customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,state,city,latitude,longitude,age,married,referred_a_friend,number_of_referrals,offer,avg_monthly_gb_download,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_level,open_issue_count,close_issue_count,support_interaction_count,resolution_status_open_closed
2812-ENYMO,Male  ,0,No     ,No        ,26,No          ,No phone service,DSL            ,Yes                ,Yes                ,Yes                ,One year      ,No              ,Credit card (automatic)  ,54.55,California,Orick                 ,41.336354,-124.044354,22,No     ,No               ,0,Offer C,82,Yes            ,Yes           ,0.0,0,0.0,1362.85,High,1,6,7,Resolved
6100-QQHEB,Male  ,0,Yes    ,Yes       ,17,Yes         ,Yes             ,Fiber optic    ,No                 ,Yes                ,Yes                ,Month-to-month,Yes             ,Electronic check         ,92.55,California,San Jose              ,37.304681,-121.809955,42,Yes    ,Yes              ,1,Offer D,13,Yes            ,Yes           ,0.0,0,301.07,1816.17,Medium,9,1,10,Resolved
1518-OMDIK,Male  ,0,Yes    ,No        ,33,Yes         ,No              ,DSL            ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Credit card (automatic)  ,44.55,California,Rohnert Park          ,38.34719,-122.697822,23,Yes    ,Yes              ,6,Offer C,51,No             ,Yes           ,0.0,0,1600.17,3062.77,High,0,3,3,Resolved
5447-VYTKW,Male  ,0,No     ,No        ,27,Yes         ,No              ,DSL            ,Yes                ,No                 ,No                 ,Month-to-month,No              ,Mailed check             ,53.45,California,Los Angeles           ,34.037251,-118.423573,53,No     ,No               ,0,None   ,28,No             ,Yes           ,0.0,0,407.43,1868.88,Medium,7,0,7,Resolved
6655-LHBYW,Male  ,0,No     ,No        ,50,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,One year      ,No              ,Credit card (automatic)  ,114.35,California,Glendora              ,34.14649,-117.849815,46,No     ,No               ,0,Offer B,21,Yes            ,No            ,0.0,10,990.0,6791.1,Medium,1,4,5,Resolved
0810-DHDBD,Female,0,No     ,No        ,52,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,No                 ,One year      ,No              ,Credit card (automatic)  ,74.0,California,Rohnert Park          ,38.34719,-122.697822,31,No     ,No               ,0,None   ,21,No             ,Yes           ,0.0,0,1111.76,4989.41,Medium,0,4,4,Resolved
2000-DHJUY,Female,1,Yes    ,No        ,70,Yes         ,Yes             ,DSL            ,Yes                ,Yes                ,Yes                ,Two year      ,Yes             ,Bank transfer (automatic),92.2,California,Menlo Park            ,37.449551,-122.183762,67,Yes    ,Yes              ,1,Offer A,21,Yes            ,Yes           ,0.0,0,1306.9,7781.35,High,0,5,5,Resolved
4020-KIUDI,Male  ,0,Yes    ,Yes       ,6,Yes         ,No              ,No             ,No internet service,No internet service,No internet service,Month-to-month,No              ,Credit card (automatic)  ,19.85,California,Los Angeles           ,33.952714,-118.292061,54,Yes    ,Yes              ,8,Offer E,0,No             ,No            ,0.0,0,142.38,281.23,High,1,5,6,Resolved
5196-SGOAK,Female,0,No     ,No        ,1,Yes         ,No              ,Fiber optic    ,No                 ,No                 ,No                 ,Month-to-month,Yes             ,Electronic check         ,75.7,California,Caliente              ,35.358953,-118.527064,39,No     ,No               ,0,Offer E,21,No             ,Yes           ,0.0,0,9.05,84.75,Medium,9,0,9,Resolved
1163-VIPRI,Female,0,Yes    ,Yes       ,65,Yes         ,Yes             ,Fiber optic    ,Yes                ,Yes                ,Yes                ,Two year      ,No              ,Electronic check         ,109.3,California,Garberville           ,40.057784,-123.679461,22,Yes    ,Yes              ,4,Offer B,47,Yes            ,Yes           ,0.0,0,861.25,8198.8,High,0,6,6,Resolved
